name,birthYear,deathYear,activityStart,activityEnd,field,notes
Isaac Newton,1643,1727,,,,
Galileo Galilei,1564,1642,,,,
Johannes Kepler,1571,1630,,,,
René Descartes,1596,1650,,,,
Baruch Spinoza,1632,1677,,,,
Gottfried Wilhelm Leibniz,1646,1716,,,,
Archimedes,-287,-212,,,,
Leonhard Euler,1707,1783,,,,
Immanuel Kant,1724,1804,,,,
Gerolamo Cardano,1501,1576,,,,
Fibonacci ,1170,1250,,,,
Harezmi,780,847,,,,
Pierre de Fermat,1607,1665,,,,
Bernhard Riemann,1826,1866,,,,
Georg Cantor,1845,1918,,,,
Henri Poincaré,1854,1912,,,,
John Locke,1632,1704,,,,
David Hume,1711,1776,,,,
Voltaire,1694,1778,,,,
Søren Kierkegaard,1813,1855,,,,
Adam Smith,1723,1790,,,,
David Ricardo,1772,1823,,,,
Jeremy Bentham,1748,1832,,,,
Denis Diderot,1713,1784,,,,
"Kurt Gödel",1906,1978,,,,
David Hilbert,1862,1943,,,,
Alan Turing,1912,1954,,,,
Giuseppe Peano,1858,1932,,,,
Gottlob Frege,1848,1925,,,,
"Bertrand Russell",1872,1970,,,,
Euclid,-325,-265,,,,
Pythagoras,-570,-495,,,,
Thales,-624,-548,,,,
Socrates,-470,-399,,,,
Parmenides,-540,-470,,,,
Heraclitus,-550,-470,,,,
Anaxagoras,-500,-428,,,,
St. Augustine,354,430,,,,
Thomas Aquinas,1225,1274,,,,
Nicolas Malebranche,1638,1715,,,,
Plato,-428,-347,,,,
Homer,-720,-620,,,,
Hesiod,-750,-650,,,,
Ludwig Wittgenstein,1889,1951,,,,
Ferdinand de Saussure,1857,1913,,,,
Roman Jakobson,1896,1982,,,,
Claude Lévi-Strauss,1908,2009,,,,
Georg Wilhelm Friedrich Hegel,1770,1831,,,,
Aristotle,-384,-322,,,,
Empedocles,-494,-434,,,,
Epicurus,-341,-270,,,,
Democritus,-460,-370,,,,
Lucretius,-99,-55,,,,
"Thomas Hobbes",1588,1679,,,,
Cicero,-106,-43,,,,
Niccolò Machiavelli,1469,1527,,,,
"Francis Bacon",1561,1626,,,,
Friedrich Nietzsche,1844,1900,,,,
Robert Boyle,1627,1691,,,,
Johann Gottlieb Fichte,1762,1814,,,,
Friedrich Wilhelm Joseph Schelling,1775,1854,,,,
Jean-Jacques Rousseau,1712,1778,,,,
Ptolemy,100,170,,,,
Nicolaus Copernicus,1473,1543,,,,
Karl Marx,1818,1883,,,,
Friedrich Engels,1820,1895,,,,
Charles Darwin,1809,1882,,,,
Sigmund Freud,1856,1939,,,,
Sophocles,-496,-405,,,,
Marquis de Sade,1740,1814,,,,
İbn Rüşd,1126,1198,,,,
Farabi,870,950,,,,
İbn Sina,980,1037,,,,
Gazali,1058,1111,,,,
İbn Bacce,1085,1138,,,,
İbn Tufeyl,1105,1185,,,,
Maimonides,1135,1204,,,,
James Joyce,1882,1941,,,,
Kindi,801,873,,,,
Ömer Hayyam,1048,1131,,,,
Tusi,1201,1274,,,,
İbn Haldun,1332,1406,,,,
"Blaise Pascal",1623,1662,,,,
Evangelista Torricelli,1608,1647,,,,
Henri Bergson,1859,1941,,,,
Arthur Schopenhauer,1788,1860,,,,
George Berkeley,1734,1753,,,,
Albert Einstein,1879,1955,,,,
Hermann Minkowski,1864,1909,,,,
Hendrik Lorentz,1853,1928,,,,
James Clerk Maxwell,1831,1879,,,,
Michael Faraday,1791,1867,,,,
Ernest Rutherford,1871,1937,,,,
Erwin Schrödinger,1887,1961,,,,
Werner Heisenberg,1901,1976,,,,
Niels Bohr,1885,1962,,,,
Paul Dirac,1902,1984,,,,
Wolfgang Pauli,1900,1958,,,,
Maurice Merleau-Ponty,1908,1961,,,,
Gaston Bachelard,1884,1962,,,,
Edmund Husserl,1859,1938,,,,
Martin Heidegger,1889,1976,,,,
Jacques Lacan,1901,1981,,,,
Alexandre Kojève,1902,1968,,,,
Alexandre Koyré,1892,1964,,,,
Michel Foucault,1926,1984,,,,
Gilles Deleuze,1925,1995,,,,
Jean Hyppolite,1907,1968,,,,
Jacques Derrida,1930,2004,,,,
Louis Althusser,1918,1990,,,,
Alfred North Whitehead,1861,1947,,,,
Plotinus,204,270,,,,
Charles Sanders Peirce,1839,1914,,,,
Rudolf Carnap,1891,1970,,,,
Alfred Tarski,1901,1983,,,,
Saul Kripke,1940,2022,,,,
Willard Van Orman Quine,1908,2000,,,,
Boethius,480,524,,,,
William of Ockham,1285,1347,,,,
Martin Luther,1483,1546,,,,
"Walter Benjamin",1892,1940,,,,
György Lukács,1885,1971,,,,
Rosa Luxemburg,1871,1919,,,,
Vladimir Lenin,1870,1924,,,,
Aristarchus,-310,-230,,,,
Herodotus,-484,-425,,,,
Diogenes,-412,-323,,,,
Antonio Gramsci,1891,1937,,,,
Carl Friedrich Gauss,1777,1855,,,,
Emmy Noether,1882,1935,,,,
Charles Babbage,1791,1871,,,,
Ada Lovelace,1815,1852,,,,
Évariste Galois,1811,1832,,,,
Niels Henrik Abel,1802,1829,,,,
Carl Gustav Jacob Jacobi,1804,1851,,,,
Joseph-Louis Lagrange,1736,1813,,,,
William Rowan Hamilton,1805,1865,,,,
George Boole,1815,1864,,,,
Joseph Fourier,1768,1830,,,,
"Peter Gustav Lejeune Dirichlet",1805,1859,,,,
"Siméon Denis Poisson",1781,1840,,,,
Pierre-Simon Laplace,1749,1827,,,,
"Niccolò Fontana Tartaglia",1499,1557,,,,